id,status_group
12808,functional
64126,functional
64903,non functional
35165,functional
64635,functional
47929,functional
67954,functional
16575,non functional
16612,functional
27003,non functional
73324,functional
22174,functional
19450,functional
35825,functional
23254,functional
61999,functional
47323,functional
48624,functional
6148,functional
59698,non functional
68916,functional
28358,functional
57453,functional
71952,functional
60021,functional
22567,functional
22828,functional
34896,functional
41325,functional
8831,functional
5345,functional
19379,functional
5514,functional
3952,functional
30085,functional
2465,functional
11466,functional
30179,functional
48424,functional
70368,functional
26935,functional
2134,non functional
16652,functional
24210,functional
6211,functional
48104,functional
50171,functional
63137,functional
38301,functional
33232,functional
61415,non functional
69131,non functional
46610,functional
20922,non functional
19341,functional
55490,functional
67678,functional
36119,functional
62775,functional
68162,functional
66128,functional
12036,functional
57048,functional
18055,functional
53713,non functional
69327,non functional
60169,functional
26798,functional
37122,functional
45156,functional
22874,functional
17487,functional
35886,functional
49892,functional
66338,functional
31349,functional
72271,functional
48863,functional
47,functional
70492,functional
64505,non functional
58329,functional
22286,functional
46606,functional
18461,functional
15256,functional
625,functional
42122,functional
18277,functional
62879,functional
18554,functional
27712,functional
46935,functional
57804,non functional
57711,functional
8305,functional
57410,functional
35994,functional
52056,functional
63679,functional
45592,functional
62227,functional
3730,functional
45996,functional
46089,functional
65579,functional
40407,functional
66663,functional
26597,functional
50540,functional
58133,functional
31503,functional
19466,functional
66553,functional
31696,functional
36112,functional
6294,functional
40612,non functional
62793,functional
58090,functional
2532,functional
51709,functional
41745,functional
42315,functional
45540,functional
73833,functional
27771,functional
9336,functional
12545,functional
54811,functional
48326,functional
31787,functional
26718,functional
72932,non functional
25707,functional
68580,non functional
7624,functional
39561,functional
23237,functional
72484,functional
13706,functional
43035,functional
55875,functional
17299,functional
1793,functional
65720,functional
49165,functional
3574,non functional
56735,functional
45481,functional
51772,functional
74095,functional
6808,functional
27311,functional
73303,functional
2691,functional
12582,functional
52609,functional
42767,functional
20054,non functional
47432,functional
49863,functional
31169,functional
38382,functional
31205,functional
23528,functional
67091,functional
47734,functional
927,functional
16963,functional
2399,functional
46271,non functional
49861,non functional
41264,functional
68210,functional
11321,functional
56312,functional
7275,functional
48614,non functional
65873,functional
9008,functional
36817,functional
38460,non functional
36514,functional
57548,functional
2809,functional
70632,functional
17260,functional
27950,functional
40629,non functional
64155,functional
50640,functional
67355,functional
70868,functional
45823,functional
19985,functional
61834,functional
54171,functional
42408,non functional
13151,functional
28311,functional
57775,non functional
37603,non functional
56357,non functional
37845,functional
57177,non functional
8193,functional
33708,functional
68898,functional
37198,functional
22264,functional
49694,functional
47318,functional
46108,functional
28297,functional
26987,non functional
5766,functional
25979,functional
73021,functional
61777,functional
47591,functional
8968,functional
45656,non functional
39630,functional
2786,functional
23422,functional
55802,functional
61634,functional
1625,functional
37398,non functional
51011,non functional
49595,functional
45204,functional
74223,non functional
30595,functional
9520,functional
53253,functional
36436,functional
15036,functional
23175,functional
41998,functional
19345,functional
1198,functional
39278,functional
64288,functional
54572,functional
68079,functional
68017,functional
58230,functional
46242,functional
1917,functional
9361,functional
33043,functional
56633,functional
57518,functional
51128,functional
4388,functional
62267,functional
70957,functional
35399,functional
33236,functional
73183,functional
54326,functional
16343,functional
33013,functional
60384,functional
41074,functional
71997,functional
35190,functional
3425,functional
4335,functional
7399,functional
40845,functional
27347,non functional
36447,functional
67485,functional
11220,functional
21806,functional
8771,functional
8671,functional
2252,functional
58078,functional
69204,functional
46930,functional
21584,functional
17045,functional
14404,functional
38744,functional
54735,functional
51916,functional
58114,functional
28339,functional
66497,functional
16701,functional
59499,functional
66042,functional
43965,functional
70766,functional
9510,functional
28586,functional
18050,functional
73151,functional
40184,functional
70178,functional
39252,functional
44168,functional
66540,functional
29244,functional
58991,functional
67803,functional
48006,non functional
11788,functional
16100,functional
21208,functional
8637,functional
67008,non functional
67914,functional
43181,functional
26191,functional
49812,functional
12705,functional
25422,functional
9399,functional
4239,functional
49442,functional
63498,non functional
12708,functional
31204,non functional
40820,functional
46718,functional
39000,non functional
45897,non functional
50034,functional
40426,functional
41168,functional
58978,functional
32736,non functional
29058,functional
23824,functional
61885,non functional
59187,functional
73243,functional
1784,functional
65951,functional
20661,functional
66975,functional
72057,functional
49331,non functional
12407,functional
13012,functional
13264,functional
51824,non functional
3996,functional
24854,functional
43420,functional
70468,functional
57179,functional
70388,functional
69974,functional
8854,functional
69272,functional
49119,functional
15638,functional
9086,functional
56422,functional
39106,functional
4515,functional
48594,functional
63779,functional
60740,functional
65001,functional
2601,non functional
52456,functional
21873,functional
25505,functional
52336,non functional
45465,non functional
50533,functional
54866,functional
50135,non functional
66920,non functional
390,non functional
13645,non functional
39327,functional
2100,functional
31521,functional
277,functional
33937,functional
42545,functional
46861,functional
71773,functional
52392,functional
47229,functional
10716,non functional
42206,functional
965,functional
66646,functional
17301,functional
37797,functional
15296,functional
41472,functional
73859,functional
20153,functional
71684,functional
8321,non functional
68979,functional
48850,functional
64251,functional
33326,functional
67047,functional
24896,functional
24107,functional
7823,non functional
32016,functional
70580,functional
47503,functional
37357,functional
1195,functional
52309,functional
19655,non functional
39455,functional
52757,non functional
62729,non functional
24324,functional
28152,functional
14259,functional
47461,functional
65878,functional
70035,functional
30337,non functional
57584,functional
67193,functional
5934,functional
61722,functional
68558,functional
51165,functional
54952,functional
53160,functional
52744,functional
23484,functional
13139,functional
41539,functional
47692,functional
60165,functional
64683,functional
7089,functional
13516,functional
9075,functional
25066,functional
8243,functional
18288,functional
72822,functional
5178,functional
66294,functional
48600,functional
27513,functional
36889,functional
663,functional
10646,functional
50804,non functional
29635,functional
47604,functional
49844,functional
71088,functional
40470,functional
51415,functional
7780,non functional
53915,functional
54560,functional
15498,functional
20446,functional
5886,non functional
52883,functional
30892,functional
42574,functional
44827,functional
5951,functional
19831,functional
58686,functional
44921,functional
55024,functional
28971,non functional
32182,non functional
372,functional
49297,functional
73443,functional
22035,functional
46318,functional
20802,functional
41941,functional
47262,functional
38688,non functional
26136,functional
13480,functional
50343,functional
68537,functional
17764,functional
68514,functional
31290,functional
72594,functional
19679,functional
46470,non functional
9931,functional
39214,functional
3982,functional
29633,functional
63438,functional
44486,functional
47724,functional
4393,non functional
54938,functional
55870,functional
62561,non functional
7975,functional
4929,functional
51854,functional
40247,functional
27495,functional
20111,functional
33231,functional
53237,functional
23279,functional
73053,functional
31190,functional
54820,non functional
40904,functional
43729,functional
2012,functional
70647,functional
6067,functional
50168,non functional
11480,functional
69469,functional
51844,functional
13340,functional
34046,functional
72429,functional
60034,functional
36173,functional
66575,functional
33778,functional
52807,functional
37283,functional
53688,functional
54777,functional
7060,functional
3905,functional
14607,functional
59091,functional
44927,functional
59722,functional
36207,functional
55377,functional
34300,functional
29483,non functional
58576,functional
63873,functional
55723,functional
9950,functional
49680,functional
30329,functional
64912,functional
21165,functional
42112,functional
25108,functional
55021,functional
14319,functional
23587,functional
27217,functional
62333,functional
3284,non functional
38299,functional
35668,functional
10228,functional
33451,functional
37149,functional
14731,functional
7963,functional
55945,non functional
7244,functional
40114,functional
37615,functional
54151,functional
71171,functional
20712,functional
20187,functional
12383,functional
33364,non functional
12201,functional
1782,functional
42747,functional
12125,functional
53260,functional
55023,functional
7865,functional
4988,functional
17387,functional
41771,non functional
9157,functional
70881,functional
59951,functional
47581,functional
14986,functional
32928,non functional
11934,functional
54065,functional
25479,functional
32973,functional
51060,functional
33106,functional
8640,functional
9966,functional
72250,functional
50586,functional
48093,functional
9379,functional
65657,functional
34535,functional
26262,functional
33972,functional
47960,functional
10946,functional
56314,functional
41027,functional
42841,functional
8016,non functional
53513,functional
50420,functional
31043,functional
66544,functional
66747,functional
43675,functional
12325,functional
4092,functional
60469,functional
15869,functional
31689,functional
35039,non functional
65864,functional
54111,functional
65616,functional
24954,functional
51679,functional
7861,functional
74037,functional
60329,functional
16467,functional
42906,functional
48072,functional
34861,functional
38446,functional
42010,functional
49961,functional
32989,functional
17483,functional
54815,functional
16359,functional
54840,non functional
46589,functional
52749,functional
72814,functional
19523,functional
32936,functional
28011,functional
49940,functional
21296,functional
57692,functional
60900,non functional
69726,functional
4707,functional
5501,functional
20466,functional
60509,functional
47386,functional
54730,functional
11731,non functional
40490,functional
17385,functional
63184,functional
64602,functional
38658,functional
18940,non functional
45669,functional
19668,functional
44209,functional
73269,functional
19492,functional
18247,functional
61793,functional
68182,functional
69769,non functional
18330,functional
9250,functional
29932,functional
22830,functional
58200,functional
9138,functional
50234,functional
16393,functional
9832,functional
31881,non functional
12886,functional
830,functional
15950,functional
26265,functional
46220,non functional
2860,functional
19021,functional
39782,functional
74005,functional
5674,non functional
9381,functional
3895,non functional
29551,functional
41475,functional
67870,functional
2791,functional
42255,non functional
12440,functional
13193,functional
60880,functional
71008,functional
67514,functional
70543,functional
2906,functional
10021,functional
46730,functional
2408,functional
72505,functional
65019,functional
340,non functional
50285,functional
32262,functional
34827,functional
63294,functional
44867,functional
26751,functional
39354,functional
21479,functional
11344,functional
62122,functional
16857,functional
10438,functional
57755,functional
3380,functional
47925,functional
2932,functional
11829,functional
59013,functional
48338,functional
71276,functional
62998,functional
6708,functional
9969,functional
72485,functional
53890,non functional
62984,non functional
56024,functional
64958,functional
1545,functional
68416,functional
53929,functional
20931,functional
2579,functional
8486,functional
15871,functional
42513,functional
2959,functional
64833,functional
54346,functional
18056,functional
10574,non functional
72803,functional
71644,functional
43929,functional
71352,functional
26630,functional
36667,non functional
13838,functional
73762,functional
56917,functional
64901,functional
11878,functional
22410,functional
29102,non functional
36539,functional
35854,functional
32235,functional
36097,functional
54661,functional
61700,functional
71556,functional
9296,functional
26823,functional
45401,functional
862,functional
60984,functional
68476,functional
18299,functional
6446,functional
63522,functional
66298,functional
39348,functional
25325,functional
38166,functional
10753,functional
6496,functional
66416,non functional
47968,functional
53608,functional
66036,functional
18890,functional
1978,functional
10656,functional
69297,functional
43482,functional
43158,non functional
18733,functional
72342,functional
37520,functional
11453,functional
39911,functional
51620,functional
4572,functional
66569,functional
7200,functional
66123,functional
7672,functional
37943,functional
2142,functional
66405,functional
13101,functional
73963,functional
26444,functional
19007,functional
71761,functional
32922,functional
43852,functional
29438,functional
39407,functional
58835,functional
9994,non functional
34194,functional
50876,non functional
31094,functional
37473,functional
52355,functional
65517,functional
42861,functional
28406,functional
3716,functional
219,functional
2079,functional
3612,functional
56582,functional
7760,functional
39295,functional
68787,non functional
35160,functional
53668,functional
50414,functional
38773,non functional
39624,functional
72477,functional
61146,non functional
22496,functional
39554,functional
32282,functional
8586,functional
36903,functional
55556,functional
51806,functional
44903,functional
10871,functional
67815,functional
59743,functional
11844,functional
40682,functional
71690,non functional
22833,functional
16908,functional
43496,functional
65634,functional
6309,functional
38784,functional
69029,functional
34228,functional
42698,functional
31674,functional
52616,functional
28760,functional
20847,functional
39895,functional
44133,functional
68173,functional
26285,functional
57809,functional
3915,functional
16738,functional
13627,functional
16649,non functional
8572,functional
71169,functional
72287,functional
25981,functional
69749,functional
53037,functional
29631,functional
54016,functional
71623,functional
30275,functional
29073,functional
59974,functional
15654,functional
12002,functional
10489,functional
23467,functional
11289,functional
26166,functional
3449,functional
7498,functional
62730,functional
68654,functional
5300,functional
22742,non functional
71210,functional
24301,functional
51174,functional
57324,non functional
47760,functional
34478,functional
44012,functional
50314,functional
24528,functional
42635,functional
7398,functional
20430,functional
59586,functional
49192,functional
39902,functional
52301,functional
50482,functional
36023,functional
42509,functional
37018,functional
33205,functional
66229,non functional
67348,functional
10496,functional
49208,functional
49307,functional
53899,functional
12537,functional
1365,functional
54115,functional
52656,non functional
40498,functional
48970,non functional
56235,functional
63964,functional
32271,functional
15011,functional
65630,functional
58295,functional
3161,functional
20933,functional
20195,functional
55726,functional
39291,functional
39436,functional
12682,functional
48580,functional
22504,functional
54078,functional
18687,functional
41128,functional
52967,functional
73043,functional
23440,functional
3953,functional
70347,functional
45392,non functional
8890,functional
49091,functional
19625,functional
44799,non functional
5874,non functional
9067,functional
15956,functional
3693,functional
65220,functional
31365,functional
60072,functional
45506,functional
20094,functional
20309,functional
49113,functional
44016,functional
7210,functional
60748,non functional
27452,functional
59367,functional
59662,functional
63833,functional
63706,functional
40887,functional
3501,functional
20532,non functional
43398,functional
49223,functional
12860,functional
45960,functional
34432,functional
17486,functional
65669,functional
37837,functional
37866,functional
53995,functional
2320,non functional
67731,functional
62940,functional
50725,functional
25922,functional
19440,functional
9508,functional
66849,functional
62431,functional
23245,functional
64287,functional
44968,functional
61846,functional
49580,non functional
25900,functional
31819,functional
17098,functional
33791,functional
27287,functional
50174,functional
60161,functional
10484,functional
56320,functional
33643,functional
41463,functional
23539,functional
2230,functional
375,functional
53096,functional
60168,functional
21007,functional
14315,functional
2177,functional
49269,functional
4671,functional
44176,functional
40998,functional
64091,functional
68831,functional
42058,functional
7902,functional
28086,functional
45360,functional
45083,functional
32905,non functional
39259,functional
38013,functional
38895,functional
35123,functional
7111,functional
35613,functional
7539,functional
37779,functional
40619,functional
13128,functional
62321,functional
41884,functional
48446,functional
15364,functional
28596,functional
63304,functional
18910,functional
42567,functional
1807,non functional
51223,functional
54631,functional
27402,functional
64730,non functional
17064,functional
26829,functional
9453,functional
67241,functional
66403,functional
64553,functional
24516,functional
20160,functional
6966,functional
65057,functional
11662,functional
27280,functional
39968,functional
33060,functional
50189,functional
8863,functional
18527,functional
49700,functional
52907,functional
7891,functional
51640,functional
61205,functional
39476,functional
12645,functional
65423,functional
59104,functional
12613,functional
20577,functional
22800,functional
28147,non functional
62337,functional
46824,functional
37508,functional
40212,functional
73448,functional
51073,functional
5001,non functional
71443,functional
52469,functional
36028,functional
22096,functional
48869,functional
18857,functional
5138,functional
13512,functional
20209,functional
48604,functional
66879,functional
40331,functional
49860,functional
43322,functional
13054,functional
51553,functional
58533,functional
31297,functional
63877,functional
45603,functional
5494,functional
22161,functional
3807,functional
9865,non functional
13087,functional
67705,functional
31275,functional
66376,functional
29811,non functional
60613,functional
13300,functional
42764,functional
5483,functional
72602,functional
60017,functional
320,functional
44190,functional
24619,functional
4253,functional
64624,functional
3451,functional
11328,functional
41177,functional
15005,functional
9917,functional
55120,functional
17066,functional
28474,functional
19611,functional
53689,functional
69613,functional
21223,functional
58015,functional
66850,functional
19266,functional
50766,functional
14113,functional
42577,non functional
60521,non functional
31241,functional
31095,functional
42850,functional
37852,functional
9974,functional
55266,functional
58758,functional
28508,functional
4268,functional
29508,functional
58930,functional
37997,functional
71748,functional
74152,functional
60368,non functional
16858,functional
6277,functional
1223,functional
9651,functional
32108,functional
17178,functional
72309,functional
36341,functional
7495,functional
31353,functional
12647,functional
50067,functional
54404,functional
45856,functional
56731,non functional
38790,functional
40229,functional
36182,functional
37563,functional
39146,non functional
28766,functional
67633,functional
24922,functional
51987,functional
48070,functional
16882,functional
23894,functional
18759,functional
62851,functional
24892,functional
26397,functional
15550,functional
8024,functional
40987,functional
48760,functional
23575,functional
10647,functional
45067,non functional
60680,functional
58595,functional
2381,functional
39457,functional
6055,functional
59141,functional
13698,functional
11930,functional
57875,functional
66958,functional
47427,functional
42025,functional
1468,functional
64449,functional
35590,functional
63163,functional
58984,functional
22877,functional
13783,functional
15148,functional
570,functional
21674,functional
48052,functional
27686,functional
53927,non functional
34851,functional
14646,functional
20155,functional
50328,functional
72786,functional
61652,functional
47495,functional
46307,functional
59626,non functional
38715,functional
33644,functional
73285,functional
45645,functional
10133,functional
53757,functional
69091,functional
30233,functional
8541,functional
20185,functional
15100,functional
65590,functional
15163,functional
46519,functional
8850,non functional
7211,functional
72111,functional
20652,functional
37761,functional
13869,non functional
20960,functional
17433,functional
71960,functional
70739,functional
22260,functional
48713,functional
30294,functional
27185,non functional
21593,functional
32119,functional
20299,functional
74137,functional
20171,functional
44915,functional
15941,functional
15865,functional
57598,functional
56036,functional
35251,functional
31002,functional
63990,non functional
68382,functional
48833,functional
26159,functional
32284,functional
26312,functional
21386,functional
26077,functional
54702,functional
68427,functional
57912,functional
53202,functional
41354,functional
19050,functional
15929,functional
31560,functional
61696,functional
56022,functional
23414,functional
42630,non functional
64456,functional
66412,functional
39856,non functional
31406,functional
28354,functional
2621,functional
55216,functional
40173,functional
37985,functional
12109,functional
46780,functional
2633,functional
38169,functional
49662,functional
27236,functional
60179,functional
46608,functional
7912,functional
40483,functional
64791,functional
970,functional
54743,functional
70993,functional
46287,functional
27169,functional
29471,functional
71476,functional
71980,functional
6168,non functional
73489,functional
67595,functional
37418,functional
379,functional
15933,non functional
60144,functional
27743,functional
35256,functional
35537,functional
53035,functional
69597,functional
1440,functional
54701,functional
26306,functional
21381,functional
10726,functional
52810,functional
20389,functional
43615,functional
57068,functional
49109,functional
73675,non functional
12727,functional
35299,functional
49874,non functional
13390,non functional
66488,functional
66031,functional
32846,functional
55470,functional
12619,functional
15595,non functional
15863,functional
40460,functional
1177,functional
64670,functional
33300,functional
23616,functional
27071,functional
21045,functional
1122,functional
71564,functional
31201,functional
28198,functional
45865,functional
55933,functional
52283,functional
22425,functional
59567,functional
65060,functional
19877,functional
32849,functional
38928,functional
59251,functional
72417,functional
32112,functional
16199,functional
56100,functional
72702,functional
45281,functional
68865,functional
4312,functional
61091,functional
56976,non functional
57734,functional
20544,functional
41379,functional
60327,non functional
1519,non functional
29287,functional
34402,functional
9148,functional
64266,functional
73606,functional
68249,functional
44003,functional
54595,functional
11188,functional
28564,functional
40356,functional
18775,functional
73722,functional
33239,functional
5936,functional
3148,functional
45326,functional
36943,functional
50201,functional
20948,functional
48682,functional
59315,functional
1435,functional
29558,non functional
22089,functional
73400,functional
2755,functional
63796,functional
59762,functional
25908,functional
35764,functional
70922,functional
11159,non functional
31960,functional
8702,functional
25848,functional
43337,functional
25448,functional
61760,functional
32584,functional
24156,functional
18854,non functional
14490,functional
26218,functional
31306,functional
44316,functional
15527,functional
65289,functional
72855,functional
38097,functional
70693,functional
72223,non functional
14932,functional
365,functional
19309,functional
37604,functional
24608,functional
52728,functional
14846,functional
10844,functional
13814,functional
41995,functional
67578,non functional
2135,functional
6987,functional
54099,functional
7852,functional
68627,non functional
66915,functional
61047,functional
70266,functional
33425,functional
11032,functional
32687,functional
8821,functional
30476,functional
48063,functional
55782,functional
42818,functional
19449,functional
48996,functional
71646,functional
27573,functional
12482,functional
33696,functional
73216,functional
43856,functional
52504,functional
32175,functional
29021,functional
49095,non functional
2196,functional
54583,functional
8195,functional
65155,functional
30669,functional
55877,functional
31639,functional
60039,functional
66907,functional
41917,functional
22131,functional
40052,functional
5166,non functional
1792,functional
18292,functional
29441,functional
16170,functional
69109,functional
53730,functional
3378,functional
38297,functional
1988,functional
71256,functional
24928,functional
14448,functional
63962,non functional
2808,non functional
36265,functional
57164,non functional
53011,functional
39504,functional
1172,functional
48234,functional
74087,non functional
36165,functional
33702,functional
52632,non functional
21263,functional
63912,functional
60849,functional
47683,functional
52115,functional
23260,functional
23503,functional
20500,functional
56204,functional
15876,functional
70031,functional
15186,functional
38292,functional
52651,functional
17781,functional
36073,functional
5447,functional
52150,functional
33549,functional
35345,functional
52635,functional
72222,functional
50371,functional
47954,functional
72165,functional
7088,functional
27791,functional
3326,functional
69402,non functional
12562,functional
57337,non functional
27845,functional
27595,functional
17166,functional
44746,functional
46107,functional
55717,functional
29696,functional
54543,functional
67082,functional
24342,functional
37546,functional
14669,functional
65465,functional
30282,functional
42167,functional
26700,functional
25313,functional
69971,functional
58447,functional
39276,functional
39274,functional
34911,functional
72697,functional
39628,functional
19172,functional
30232,functional
36349,functional
43470,functional
10550,functional
44061,functional
8668,functional
35336,functional
39617,functional
55993,non functional
59817,functional
73175,functional
32261,functional
44303,functional
44332,functional
42199,functional
34414,functional
22979,functional
27114,functional
64644,functional
23670,functional
50882,functional
39667,functional
56504,functional
36516,functional
66885,functional
2593,functional
49685,functional
37440,functional
14203,functional
46241,functional
7457,functional
41698,functional
59976,functional
67991,functional
41352,functional
26137,functional
36068,functional
46960,functional
57353,functional
33711,non functional
50502,functional
31796,functional
3507,functional
55138,functional
6056,functional
67960,functional
30689,non functional
18725,functional
42982,functional
67593,functional
27115,functional
42013,functional
31012,functional
58731,functional
55082,functional
41363,functional
71689,functional
50081,functional
19286,functional
14947,functional
18121,functional
16129,functional
13816,functional
11235,non functional
16375,non functional
31754,functional
43561,functional
45598,functional
20686,functional
31983,functional
20497,functional
48474,functional
68034,non functional
70719,functional
27756,non functional
49925,functional
62114,functional
28591,functional
57764,functional
33229,functional
43563,functional
1952,functional
72318,functional
57434,functional
7400,functional
10772,non functional
23744,functional
50719,non functional
47996,functional
37400,functional
54933,functional
65542,functional
13460,functional
14930,functional
36870,functional
58165,functional
73680,functional
14750,functional
28637,functional
67510,functional
36900,functional
28817,functional
29579,functional
66052,functional
27055,functional
43822,functional
63643,functional
35755,functional
22463,functional
12912,functional
9263,functional
37864,functional
49866,functional
38448,functional
5197,functional
30116,functional
58440,functional
12069,functional
71238,functional
12311,functional
1724,functional
71065,non functional
58386,functional
36384,functional
1512,functional
5326,functional
12884,functional
44202,functional
15004,functional
17447,non functional
71768,functional
3936,functional
65414,functional
17562,functional
18976,functional
37756,functional
13423,functional
27062,functional
50638,functional
40548,functional
24486,functional
56768,functional
36816,functional
37367,non functional
69640,functional
19420,functional
74218,functional
20454,functional
26668,non functional
30832,functional
12076,functional
12471,non functional
25171,functional
14230,functional
62315,non functional
17480,functional
4560,functional
70820,functional
39636,functional
39440,functional
53389,functional
24337,functional
46136,functional
44059,functional
15385,functional
3492,functional
3517,functional
14608,functional
73831,functional
6655,functional
2540,functional
38557,functional
69447,functional
69193,functional
59105,functional
72744,functional
1265,functional
54950,functional
10683,functional
73119,functional
54170,functional
13103,functional
26859,functional
16197,functional
46654,non functional
69338,functional
24076,functional
62955,functional
39290,functional
60234,functional
29132,functional
47696,functional
12779,functional
65903,functional
58035,functional
60317,functional
33653,functional
42389,functional
24769,functional
41753,functional
65273,functional
13488,functional
55654,functional
70353,functional
799,functional
2493,functional
14850,functional
35505,functional
63395,functional
46971,functional
4422,functional
45199,non functional
24104,functional
37598,functional
29507,functional
50424,functional
69426,functional
46486,functional
52356,functional
9857,non functional
32347,functional
8480,functional
30759,functional
30079,functional
56176,functional
21422,functional
53075,functional
13785,functional
27588,functional
37540,functional
21129,functional
24716,functional
28634,functional
12863,functional
13347,functional
23443,functional
9922,functional
24463,functional
56329,non functional
90,functional
37085,functional
64035,functional
46817,functional
44622,functional
67100,functional
31722,functional
39493,functional
38574,functional
11709,functional
34902,functional
18861,functional
71735,non functional
38399,functional
12378,non functional
25889,functional
30615,non functional
40822,functional
72663,functional
1005,functional
62019,functional
68252,functional
42879,functional
61919,non functional
51846,functional
74209,functional
24153,functional
9555,functional
22192,functional
11589,functional
53679,non functional
3951,functional
55977,functional
71323,functional
68061,functional
73093,functional
8629,functional
22555,functional
56729,functional
60115,functional
25323,functional
32590,functional
31894,functional
8341,functional
71668,functional
55536,functional
49233,functional
53150,functional
12816,functional
36994,functional
29562,functional
11172,functional
33981,functional
62693,functional
14386,functional
6162,functional
52573,functional
8414,functional
36413,functional
45650,functional
63193,functional
26650,functional
32499,functional
60050,non functional
26049,functional
19786,functional
63010,functional
1149,functional
32642,functional
24548,functional
54389,functional
45351,functional
18234,functional
63045,functional
45051,functional
53532,non functional
45670,functional
55110,functional
42752,functional
37309,functional
22788,functional
62318,functional
71262,functional
73283,functional
16749,functional
65949,functional
40190,non functional
50336,functional
12020,non functional
50949,non functional
34076,functional
36307,functional
50754,functional
35685,functional
58714,functional
7914,functional
56228,functional
1458,functional
56149,functional
5143,functional
15981,functional
19238,functional
54463,functional
16949,functional
40895,functional
42250,functional
50382,functional
15115,functional
73775,functional
2027,functional
11694,functional
67934,functional
56923,functional
44371,functional
7978,functional
40196,functional
60758,functional
16086,functional
33285,functional
63940,functional
19839,functional
48337,functional
8778,functional
37983,functional
7974,non functional
26466,functional
2966,non functional
15435,functional
65411,functional
14473,non functional
49383,non functional
63681,non functional
55898,functional
10879,functional
8011,functional
26423,functional
51191,functional
46502,functional
18839,functional
23402,functional
57843,functional
21559,functional
25631,functional
23823,functional
55223,functional
61902,functional
16845,functional
71291,functional
38710,functional
51114,functional
13971,functional
63777,functional
49784,functional
70711,non functional
45908,functional
8801,functional
46118,functional
61699,functional
10762,functional
7293,functional
23856,functional
11648,functional
43869,functional
5527,functional
63012,functional
70191,functional
59349,functional
44031,functional
27596,functional
67690,functional
50923,functional
32998,functional
48183,functional
6213,functional
40520,functional
41083,functional
50349,functional
44540,functional
10,functional
9864,functional
72487,functional
69949,functional
20191,functional
23621,non functional
37692,functional
72519,functional
35490,functional
43080,functional
70998,non functional
54117,functional
26186,functional
36549,functional
16302,non functional
42094,functional
27979,functional
42768,non functional
51644,functional
30297,functional
46805,functional
24934,functional
45916,functional
49783,functional
23980,functional
29910,functional
28396,functional
36788,functional
72843,functional
58683,functional
66555,functional
51012,functional
51886,functional
12119,functional
27189,functional
895,functional
67830,functional
51242,functional
52440,functional
73153,functional
51205,functional
72,functional
65316,functional
22676,functional
45076,functional
67709,functional
33112,functional
28183,functional
8497,functional
29430,functional
61752,functional
16903,functional
68008,functional
18719,functional
63516,functional
32704,functional
67468,functional
71974,functional
60460,functional
57801,functional
5156,functional
53429,functional
31155,functional
45435,non functional
62699,functional
7233,functional
26892,functional
57374,functional
2876,non functional
8510,functional
1163,functional
15342,functional
59381,functional
38372,functional
55852,functional
4276,functional
58981,functional
28050,non functional
47842,functional
36471,functional
42072,functional
22460,functional
59768,functional
141,functional
15262,non functional
9111,functional
26934,functional
34040,functional
61608,functional
69176,functional
64849,functional
19983,functional
64985,functional
29425,functional
12881,non functional
